No.,単語,漢字表記,品詞,英訳,課数
34,あたらしい,新しい,い-adj.,new,会L5
36,あつい,熱い,い-adj.,hot (thing),会L5
37,あつい,暑い,い-adj.,hot (weather),会L5
97,いそがしい,忙しい,い-adj.,busy (people/days),会L5
124,いっしょに,一緒に,adv.,together,会L5
168,うみ,海,n.,sea,会L5
197,エルサイズ,Ｌサイズ,n.,size L,会L5
206,おおきい,大きい,い-adj.,large,会L5
242,おしろ,お城,n.,castle,読L5-II
260,おとこのひと,男の人,n.,man,"読L5-II, 会L7"
290,おみやげ,お土産,n.,souvenir,会L5
296,おもしろい,面白い,い-adj.,interesting; funny,会L5
306,およぐ,泳ぐ,u-v.,to swim,会L5
315,おんなのひと,女の人,n.,woman,"読L5-II, 会L7"
318,～が,,part.,". . . , but","読L5-II, 会L7"
378,かっこいい,,い-adj.,good-looking,会L5
444,きく,聞く,u-v.,to ask,会L5
486,きらい（な）,嫌い,な-adj.,disgusted with; to dislike,会L5
489,きれい（な）,,な-adj.,beautiful; clean,会L5
510,くだもの,果物,n.,fruit,会L5
559,げんき（な）,元気,な-adj.,healthy; energetic,会L5
634,こわい,怖い,い-adj.,frightening,会L5
654,サーフィン,,n.,surfing,会L5
678,～さま,～様,suf.,Mr./Ms. . . .,読L5-II
679,さむい,寒い,い-adj.,cold (weather),会L5
719,しずか（な）,静か,な-adj.,quiet,会L5
791,しゅくだい,宿題,n.,homework,会L5
830,しろ,城,n.,castle,読L5-II
853,すき（な）,好き,な-adj.,fond of; to like,会L5
860,すごく,,adv.,extremely,会L5
962,だいきらい（な）,大嫌い,な-adj.,to hate,会L5
963,だいじょうぶ,大丈夫,exp.,It’s okay.; Not to worry.; Everything is under control.,会L5
964,だいすき（な）,大好き,な-adj.,very fond of; to love,会L5
973,たいへん（な）,大変,な-adj.,tough (situation),"読L5-II, 会L6"
997,たのしい,楽しい,い-adj.,fun,会L5
1007,たべもの,食べ物,n.,food,会L5
1021,たんじょうび,誕生日,n.,birthday,会L5
1022,ちいさい,小さい,い-adj.,small,会L5
1080,つまらない,,い-adj.,boring,会L5
1095,でかける,出かける,ru-v.,to go out ,会L5
1105,テスト,,n.,test,会L5
1110,では、おげんきで,では、お元気で,exp.,Take care.,読L5-II
1119,てんき,天気,n.,weather,会L5
1176,とても,,adv.,very,会L5
1199,どんな,,pre.,what kind of . . .,会L5
1238,にぎやか（な）,,な-adj.,lively,会L5
1288,のみもの,飲み物,n.,drink,会L5
1293,のる,乗る,u-v.,to ride; to board,会L5
1323,バス,,n.,bus,会L5
1402,ひま（な）,暇,な-adj.,not busy; free (time),会L5
1449,ふるい,古い,い-adj.,old (thing),会L5
1470,へや,部屋,n.,room,会L5
1491,ぼく,僕,n.,I (used by men),会L5
1516,～まい,～枚,suf.,[counter for flat objects],"会L5, 会L14(e)"
1584,みやげ,土産,n.,souvenir,会L5
1599,むずかしい,難しい,い-adj.,difficult,会L5
1613,メキシコ,,n.,Mexico,読L5-II
1659,やさしい,,い-adj.,easy (problem); kind (person),会L5
1660,やすい,安い,い-adj.,inexpensive; cheap (thing),会L5
1661,やすみ,休み,n.,holiday; day off; absence,会L5
1669,やま,山,n.,mountain,"読L5-II, 会L11"
1672,やる,,u-v.,to do; to perform,会L5
1711,よる,夜,n.,night,"読L5-II, 会L6"
1737,りょこう,旅行,n.,travel,会L5
