No.,単語,漢字表記,品詞,英訳,課数
2,あいさつ,,n.,greetings,読L23-II
59,あめがやむ,雨がやむ,u-v.,the rain stops,会L23
63,あらわす,表す,u-v.,to express; to show,読L23-II
84,いう（わるぐちを）,言う（悪口を）,u-v.,to talk behind someone’s back,会L23
130,いっぽう,一方,adv.,on the other hand,読L23-II
133,いなくなる,,u-v.,(someone) is gone; to disappear,会L23
192,エスエヌエス,SNS,n.,social media,読L23-II
195,えもじ,絵文字,n.,emoji,読L23-II
269,おなかをこわす,,u-v.,to have a stomachache,会L23
294,おもいで,思い出,n.,memory,会L23
322,かいがいりょこう,海外旅行,n.,trip to a foreign country,会L23
338,かおもじ,顔文字,n.,emoticon,読L23-II
339,～かおをする,～顔をする,irr-v.,to look . . . (facial expression) ,会L23
397,がまんする,我慢する,irr-v.,to be tolerant/patient ,会L23
431,かんじょう,感情,n.,feeling; emotion,読L23-II
435,カンニングする,,irr-v.,to cheat in an exam ,会L23
446,きごう,記号,n.,symbol,読L23-II
448,キスをする,,irr-v.,to kiss ,読L23-II
456,きにいる,気に入る,u-v.,to find something agreeable,会L23
468,きゅうこう,休講,n.,class cancellation,会L23
513,くつした,靴下,n.,socks,会L23
550,けっか,結果,n.,result,会L23
561,げんきでね,元気でね,exp.,Take care of yourself.,会L23
565,けんこう,健康,n.,health,会L23
612,ことわざ,,n.,proverb,読L23-II
617,このように,,adv.,like this; this way,読L23-II
749,しゃかい,社会,n.,society,会L23
807,しょうがっこう,小学校,n.,elementary school,会L23
899,せかいじゅう,世界中,n.,all over the world,読L23-II
910,せわをする,世話をする,irr-v.,to take care of . . . ,会L23
926,そうそう,,exp.,You are right.,会L23
951,そろそろ,,adv.,it is about time to . . .,会L23
988,ただ,,n.,free of charge,会L23
994,たて,縦,n.,vertical,読L23-II
1013,～ために,,exp.,for . . . ; for the sake of . . .,会L23
1025,チェックする,,irr-v.,to check ,会L23
1050,ちょうさ,調査,n.,survey,会L23
1136,（～は）…といういみだ,（～は）…という意味だ,exp.,～ means that . . .,読L23-II
1144,どうじょうする,同情する,irr-v.,to sympathize ,会L23
1208,なくなる,,u-v.,to be lost; to disappear,会L23
1295,～は…といういみだ,～は…という意味だ,exp.,～ means that . . .,読L23-II
1347,はなれる,離れる,ru-v.,(something/someone) separates; parts from ,会L23
1407,ひょうじょう,表情,n.,expression,読L23-II
1509,ぼんおどり,盆踊り,n.,Bon dance (Japanese traditional dance),会L23
1530,まずい,,い-adj.,(food is) terrible,会L23
1622,めんせつ,面接,n.,interview,会L23
1643,もどってくる,戻ってくる,irr-v.,(something/someone) comes back ,会L23
1646,ものすごく,,adv.,extremely,会L23
1677,ゆうしょうする,優勝する,irr-v.,to win a championship ,会L23
1678,ゆうしょく,夕食,n.,dinner,会L23
1698,よこ,横,n.,side; horizontal,読L23-II
1727,りそう,理想,n.,ideal,会L23
1744,るすばん,留守番,n.,looking after a house during someone’s absence,会L23
1773,わるぐちをいう,悪口を言う,u-v.,to talk behind someone’s back,会L23
