No.,単語,漢字表記,品詞,英訳,課数
4,アイスクリーム,,n.,ice cream,会L3
21,あさ,朝,n.,morning,会L3
22,あさごはん,朝ご飯,n.,breakfast,会L3
27,あした,明日,n.,tomorrow,"会L3, 会L4(e)"
56,あまり ＋ negative,,adv.,not much,会L3
78,いい,,い-adj.,good,会L3
85,いえ,家,n.,home; house,会L3
90,いく,行く,u-v.,to go,会L3
118,いつ,,n.,when,会L3
161,うち,,n.,home; house; my place,会L3
181,えいが,映画,n.,movie,会L3
186,ええ,,exp.,yes,会L3
219,おきる,起きる,ru-v.,to get up ,会L3
232,おさけ,お酒,n.,sake; alcoholic drink,会L3
251,おちゃ,お茶,n.,green tea,会L3
313,おんがく,音楽,n.,music,会L3
335,かえる,帰る,u-v.,to go back; to return,会L3
379,がっこう,学校,n.,school,会L3
392,カフェ,,n.,cafe,会L3
445,きく,聞く,u-v.,to listen; to hear,会L3
476,きょう,今日,n.,today,"会L3, 会L4(e)"
524,くる,来る,irr-v.,to come ,会L3
583,コーヒー,,n.,coffee,会L3
631,～ごろ,,suf.,at about . . .,会L3
648,こんばん,今晩,n.,tonight,会L3
666,さけ,酒,n.,sake; alcohol,会L3
674,ざっし,雑誌,n.,magazine,会L3
783,しゅうまつ,週末,n.,weekend,会L3
873,スポーツ,,n.,sports,会L3
880,する,,irr-v.,to do ,会L3
917,ぜんぜん ＋ negative,全然,adv.,not at all,会L3
931,そうですね,,exp.,That’s right.; Let me see.,会L3
967,たいてい,,adv.,usually,会L3
1008,たべる,食べる,ru-v.,to eat ,会L3
1040,ちゃ,茶,n.,green tea,会L3
1055,ちょっと,,adv.,a little,会L3
1093,デート,,n.,"date (romantic, not calendar)",会L3
1108,テニス,,n.,tennis,会L3
1113,でも,,exp.,but,会L3
1116,テレビ,,n.,TV,会L3
1147,どうですか,,exp.,How about . . . ?; How is . . . ?,会L3
1160,ときどき,時々,adv.,sometimes,会L3
1187,どようび,土曜日,n.,Saturday,"会L3, 会L4(e)"
1251,にちようび,日曜日,n.,Sunday,"会L3, 会L4(e)"
1276,ねる,寝る,ru-v.,to sleep; to go to sleep ,会L3
1289,のむ,飲む,u-v.,to drink,会L3
1344,はなす,話す,u-v.,to speak; to talk,会L3
1349,はやい,早い,い-adj.,early,会L3
1364,ばんごはん,晩ご飯,n.,dinner,会L3
1370,ハンバーガー,,n.,hamburger,会L3
1409,ひるごはん,昼ご飯,n.,lunch,会L3
1474,べんきょうする,勉強する,irr-v.,to study ,会L3
1520,まいにち,毎日,n.,every day,会L3
1521,まいばん,毎晩,n.,every night,会L3
1562,みず,水,n.,water,会L3
1586,みる,見る,ru-v.,to see; to look at; to watch ,会L3
1696,よく,,adv.,often; much,会L3
1708,よむ,読む,u-v.,to read,会L3
