No.,単語,漢字表記,品詞,英訳,課数
64,ありがとう,,exp.,Thank you.,会G
65,ありがとうございます,,exp.,Thank you. (polite),会G
79,いいえ,,exp.,No.; Not at all.,会G
101,いただきます,,exp.,Thank you for the meal. (before eating),会G
126,いってきます,,exp.,I’ll go and come back.,会G
127,いってらっしゃい,,exp.,Please go and come back.,会G
213,おかえり（なさい）,,exp.,Welcome home.,会G
278,おはよう,,exp.,Good morning.,会G
279,おはようございます,,exp.,Good morning. (polite),会G
301,おやすみ（なさい）,,exp.,Good night.,会G
603,ごちそうさま（でした）,,exp.,Thank you for the meal. (after eating),会G
647,こんにちは,,exp.,Good afternoon.,会G
649,こんばんは,,exp.,Good evening.,会G
680,さようなら,,exp.,Good-bye.,会G
876,すみません,,exp.,Excuse me.;  I’m sorry.,会G
989,ただいま,,exp.,I’m home.,会G
1103,～です,,exp.,I am . . . .,会G
1319,はじめまして,,exp.,How do you do ?,会G
1715,よろしくおねがいします,よろしくお願いします,exp.,Nice to meet you.,会G
