No.,単語,漢字表記,品詞,英訳,課数
54,あまい,甘い,い-adj.,sweet,会L12
55,あまのがわ,天の川,n.,the Milky Way,読L12-II
67,ある～,,pre.,one . . .,読L12-II
69,あるく,歩く,u-v.,to walk,会L12
99,いたい,痛い,い-adj.,hurt; painful,会L12
104,いたみどめ,痛み止め,n.,painkiller,会L12(e)
116,いちねんにいちど,一年に一度,adv.,once a year,読L12-II
150,インフルエンザ,,n.,influenza,会L12
156,うし,牛,n.,cow,読L12-II
205,おおい,多い,い-adj.,there are many . . .,会L12
229,おこる,怒る,u-v.,to get angry,読L12-II
248,おだいじに,お大事に,exp.,Get well soon.,会L12
255,おてあらい,お手洗い,n.,restroom,会L12
265,おとな,大人,n.,adult,"読L12-II, 会L13"
270,おなじ,同じ,adv.,same,会L12
364,かぜ,風邪,n.,cold,会L12
366,かぜをひく,風邪をひく,u-v.,to catch a cold,会L12
385,かなう,,u-v.,to be realized,読L12-II
390,かのじょ,彼女,n.,she; girlfriend,会L12
396,かふんしょう,花粉症,n.,hay fever,会L12(e)
401,かみさま,神様,n.,God,"読L12-II, 会L22"
417,かれ,彼,n.,he; boyfriend,会L12
419,かれし,彼氏,n.,boyfriend,会L12
422,かわいそう（な）,,な-adj.,pitiful; feel sorry for; poor thing,"読L12-II, 会L23"
424,がんか,眼科,n.,ophthalmologist,会L12(e)
454,きっぷ,切符,n.,train ticket,会L12
460,きぶんがわるい,気分が悪い,い-adj.,not to feel well; to feel sick,"会L12(e), 会L13"
483,きょうみがある,興味がある,u-v.,to be interested (in),会L12
498,きんちょうする,緊張する,irr-v.,to get nervous ,会L12
503,くしゃみ,,n.,sneeze,会L12(e)
541,けが,,n.,injury,会L12(e)
542,げか,外科,n.,surgeon,会L12(e)
556,げり,下痢,n.,diarrhea,会L12(e)
560,げんきがない,元気がない,exp.,don’t look well,会L12
577,こうせいぶっしつ,抗生物質,n.,antibiotic,会L12(e)
607,こっせつする,骨折する,irr-v.,to break (a bone),会L12(e)
697,さんふじんか,産婦人科,n.,obstetrician and gynecologist,会L12(e)
703,しあい,試合,n.,match; game,会L12
708,しか,歯科,n.,dentist,会L12(e)
740,じびか,耳鼻科,n.,otorhinolaryngologist; ENT doctor,会L12(e)
772,ジュース,,n.,juice,会L12
792,しゅじゅつ,手術,n.,operation,会L12(e)
817,しょくご,食後,n.,after meals,会L12(e)
842,しんぱいする,心配する,irr-v.,to worry ,会L12
866,すてき（な）,素敵,な-adj.,nice,会L12
890,せいけいげか,整形外科,n.,orthopedic surgeon,会L12(e)
892,せいせき,成績,n.,"grade (on a test, etc.)",会L12
896,せいり,生理,n.,period,会L12(e)
902,せき,,n.,cough,会L12
903,せきがでる,せきが出る,ru-v.,to cough ,会L12
909,せまい,狭い,い-adj.,narrow; not spacious,会L12
949,それに,,adv.,"moreover, . . .",会L12
954,～だい,～代,suf.,charge; fee,会L12
957,たいおんけい,体温計,n.,thermometer,会L12(e)
1006,たぶん,多分,adv.,probably; maybe,会L12
1009,たまご,卵,n.,egg,会L12
1019,たんざく,,n.,strip of fancy paper,読L12-II
1048,ちゅうしゃ,注射,n.,injection,会L12(e)
1085,つれてかえる,連れて帰る,u-v.,to bring (a person) back,読L12-II
1098,できるだけ,,adv.,as much as possible,会L12
1117,てん,天,n.,the heavens; the sky,読L12-II
1127,てんてき,点滴,n.,intravenous feeding,会L12(e)
1200,ないか,内科,n.,physician,会L12(e)
1206,なく,泣く,u-v.,to cry,"読L12-II, 会L13"
1207,なくす,,u-v.,to lose,会L12
1215,〜など,,suf.,and so forth,読L12-II
1243,にさんにち,二三日,n.,for two to three days,会L12
1270,ねがい,願い,n.,wish,読L12-II
1274,ねつがある,熱がある,u-v.,to have a fever,会L12
1285,のど,喉,n.,throat,会L12
1286,のどがかわく,喉が渇く,u-v.,to become thirsty,会L12
1311,はく,吐く,u-v.,to throw up,会L12(e)
1317,はじめて,初めて,adv.,for the first time,会L12
1328,はたけ,畑,n.,farm,読L12-II
1330,はたをおる,はたを織る,u-v.,to weave,読L12-II
1337,はっしん,発疹,n.,rash,会L12(e)
1346,はなみず,鼻水,n.,runny nose,会L12(e)
1352,はらう,払う,u-v.,to pay,会L12
1397,ひとびと,人々,n.,people,読L12-II
1401,ひふか,皮膚科,n.,dermatologist,会L12(e)
1411,ひろい,広い,い-adj.,wide; spacious,会L12
1422,ふく,服,n.,clothes,会L12
1437,ふつかよい,二日酔い,n.,hangover,会L12
1450,プレゼント,,n.,present,会L12
1478,べんぴ,便秘,n.,constipation,会L12(e)
1486,ホームシック,,n.,homesickness,会L12
1494,ほけんしょう,保険証,n.,health insurance certificate,会L12(e)
1528,まじめ（な）,,な-adj.,serious; sober; diligent,"読L12-II, 会L19"
1545,～までに,,part.,by (time/date),"読L12-II, 会L18"
1595,むこう,向こう,n.,the other side; over there,読L12-II
1597,むしば,虫歯,n.,bad tooth,会L12(e)
1600,むすめ,娘,n.,daughter,読L12-II
1620,めまいがする,,irr-v.,to feel dizzy,会L12(e)
1628,もうすぐ,,adv.,very soon; in a few moments/days,会L12
1645,もの,物,n.,thing (concrete object),会L12
1657,やけどをする,,irr-v.,to burn oneself,会L12(e)
1691,ようじ,用事,n.,business to take care of,会L12
1752,レントゲン,,n.,X-ray,会L12(e)
1763,わかれる,別れる,ru-v.,to break up; to separate ,会L12
1767,わたしたち,私たち,n.,we,"読L12-II, 会L14"
1772,わるい,悪い,い-adj.,bad,会L12
