No.,単語,漢字表記,品詞,英訳,課数
75,あんぜん（な）,安全,な-adj.,safe,会L21
83,いう（もんくを）,言う（文句を）,u-v.,to complain,会L21
92,いじめる,,ru-v.,to bully ,会L21
122,いっしょうけんめい,一生懸命,adv.,very hard,読L21-II
169,うらない,占い,n.,fortune-telling,読L21-II
208,おおくの～,多くの～,pre.,many . . .,"読L21-II, 会L22"
220,おく,置く,u-v.,to put; to lay; to place,会L21
228,おこる,起こる,u-v.,to occur; to happen,読L21-II
288,おまもり,お守り,n.,charm (against evils); amulet,読L21-II
316,か,蚊,n.,mosquito,会L21
323,かいぎ,会議,n.,business meeting; conference,会L21
369,ガソリン,,n.,gasoline,会L21
405,かよう,通う,u-v.,to commute to,読L21-II
426,かんきょう,環境,n.,environment,会L21
442,きがえる,着替える,ru-v.,to change clothes ,会L21
443,きがつく,気が付く,u-v.,to notice,会L21
457,きにする,気にする,irr-v.,to worry ,読L21-II
521,くらべる,比べる,ru-v.,to compare ,会L21
535,けいさつ,警察,n.,police; police station,会L21
557,ける,,u-v.,to kick,会L21
576,こうじょう,工場,n.,factory,会L21
630,～ころ,,suf.,time of . . . ; when . . .,会L21
668,さす,刺す,u-v.,to bite,会L21
687,さわる,触る,u-v.,to touch,会L21
789,じゅぎょうりょう,授業料,n.,tuition,会L21
818,しょくじ,食事,n.,meal,読L21-II
838,しんじる,信じる,ru-v.,to believe ,会L21
841,しんぱい（な）,心配,な-adj.,worried about,"読L21-II, 会L22"
870,スピーチ,,n.,speech,会L21
893,ぜいたくをする,,irr-v.,to indulge in luxury ,読L21-II
894,せいふ,政府,n.,government,会L21
990,ただの～,,pre.,nothing more than . . .,読L21-II
999,たのしみ,楽しみ,n.,pleasure,読L21-II
1014,ためる,,ru-v.,to save money ,会L21
1033,ちかん,,n.,groper; pervert,会L21
1062,つかまる,捕まる,u-v.,to be arrested; to be caught,会L21
1079,つつむ,包む,u-v.,to wrap; to cover,会L21
1152,どうりょう,同僚,n.,colleague,会L21
1154,とおい,遠い,い-adj.,far (away),会L21
1166,ところが,,adv.,however; on the contrary,読L21-II
1178,とにかく,,adv.,anyhow; anyway,会L21
1197,どろぼう,泥棒,n.,thief; burglar,会L21
1204,ながいあいだ,長い間,adv.,long time,読L21-II
1209,なぐる,殴る,u-v.,to strike; to hit; to punch,会L21
1260,にゅういんする,入院する,irr-v.,to be hospitalized ,読L21-II
1269,ぬすむ,盗む,u-v.,to steal; to rob,会L21
1309,ばかにする,,irr-v.,to insult; to make a fool of . . . ,会L21
1355,はる,貼る,u-v.,to post; to stick,会L21
1369,はんにん,犯人,n.,criminal,会L21
1394,ひどい,,い-adj.,awful,会L21
1410,ひるねをする,昼寝をする,irr-v.,to take a nap ,会L21
1442,ふべん（な）,不便,な-adj.,inconvenient,読L21-II
1443,ふむ,踏む,u-v.,to step on,会L21
1447,ふる,,u-v.,to turn down (somebody); to reject; to jilt,会L21
1473,へん（な）,変,な-adj.,strange; unusual,会L21
1499,ポスター,,n.,poster,会L21
1503,ほめる,,ru-v.,to praise; to say nice things ,会L21
1539,まちがえる,間違える,ru-v.,to make a mistake ,会L21
1574,みつける,見つける,ru-v.,to find ,会L21
1593,むかし,昔,n.,old days; past,会L21
1610,めいしん,迷信,n.,superstition,読L21-II
1616,めちゃくちゃ（な）,,な-adj.,messy; disorganized,会L21
1618,めったに～ない,,adv.,seldom,読L21-II
1649,もんく,文句,n.,complaint,会L21
1650,もんくをいう,文句を言う,u-v.,to complain,会L21
1653,やく,焼く,u-v.,to bake; to burn; to grill,会L21
1673,やる,,u-v.,"to give (to pets, plants, younger siblings, etc.)",会L21
1743,るす,留守,n.,absence; not at home,会L21
1753,れんらくする,連絡する,irr-v.,to contact ,会L21
