No.,単語,漢字表記,品詞,英訳,課数
13,あかちゃん,赤ちゃん,n.,baby,会L17
51,あぶない,危ない,い-adj.,dangerous,会L17
144,いれる,,ru-v.,"to make tea, coffee, etc. ",会L17
170,うらやましい,,い-adj.,envious,会L17
184,えいきょうをうける,影響を受ける,ru-v.,to be affected ,読L17-II
196,えらぶ,選ぶ,u-v.,to choose; to select,会L17
203,おいのりする,お祈りする,irr-v.,to pray ,会L17
218,おきゃくさん,お客さん,n.,guest; visitor; client; customer,会L17
291,おめでとうございます,,exp.,Congratulations!,会L17
299,おもに,主に,adv.,mainly,読L17-II
303,おゆ,お湯,n.,hot water,会L17
305,おゆをわかす,お湯を沸かす,u-v.,to boil water,会L17
342,かぎ,鍵,n.,lock; key,会L17
343,かぎをかける,鍵をかける,ru-v.,to lock ,会L17
352,かける（かぎを）,かける（鍵を）,ru-v.,to lock ,会L17
353,かける（パーマを）,,ru-v.,to have one’s hair permed ,会L17(e)
358,かじ,火事,n.,fire,会L17
367,かぞえる,数える,ru-v.,to count ,読L17-II
380,カット,,n.,cut,会L17(e)
384,～かな（あ）,,part.,I wonder . . . (casual),会L17
399,かみ,紙,n.,paper,会L17
400,かみがた,髪形,n.,hairstyle,会L17(e)
402,かみをとかす,髪をとかす,u-v.,to comb one’s hair,会L17
408,カラー,,n.,hair coloring,会L17(e)
415,かる,刈る,u-v.,to crop,会L17(e)
432,かんせいする,完成する,irr-v.,to be completed ,読L17-II
475,きゅうりょう,給料,n.,salary,会L17
516,くも,雲,n.,cloud,読L17-II
537,げいじゅつ,芸術,n.,art,読L17-II
546,けしょうする,化粧する,irr-v.,to put makeup on ,会L17
642,コンタクト（レンズ）,,n.,contact lenses,会L17
656,さいあく（な）,最悪,な-adj.,the worst,会L17
663,さくひん,作品,n.,"work (of art, etc.)",読L17-II
685,サラリーマン,,n.,salaryman; office worker,会L17
700,し,詩,n.,poem,読L17-II
709,しかし,,adv.,however,読L17-II
758,シャンプー,,n.,shampoo,"会L17(e), 会L18"
771,しゅうしょくする,就職する,irr-v.,to get a full-time job (at . . . ) ,会L17
774,じゅうでうたれる,銃で撃たれる,exp.,to be shot,読L17-II
793,しゅしょう,首相,n.,prime minister,会L17
799,しゅふ,主夫,n.,house husband,読L17-II
802,じゅんび,準備,n.,preparation,会L17
822,ショッピングモール,,n.,shopping mall,会L17
848,ずいぶん,,adv.,very,会L17
855,すく,,u-v.,thin out (hair),会L17(e)
857,すくない,少ない,い-adj.,a little; a few,会L17
871,スプーン,,n.,spoon,会L17
881,する,,irr-v.,"to wear small items (necktie, watch, etc.) ",会L17
905,セット,,n.,set,会L17(e)
911,せんきゅうひゃくろくじゅうねんだい,1960年代,n.,1960’s,読L17-II
924,そうか,,exp.,I see. (casual),会L17
939,そのご,その後,adv.,after that,読L17-II
942,そめる,,ru-v.,to dye ,会L17(e)
944,そる,,u-v.,to shave,会L17(e)
950,そろえる,,ru-v.,to make hair even; to trim ,会L17(e)
969,だいヒット,大ヒット,n.,big hit,読L17-II
978,たからくじ,宝くじ,n.,lottery,会L17
979,たからくじにあたる,宝くじに当たる,u-v.,to win a lottery,会L17
1015,たりる,足りる,ru-v.,to be sufficient; to be enough ,会L17
1028,ちがい,違い,n.,difference,会L17
1075,つごうがわるい,都合が悪い,い-adj.,inconvenient; to have a scheduling conflict,会L17
1082,つよい,強い,い-adj.,strong,会L17
1124,てんじょう,天井,n.,ceiling,読L17-II
1125,でんしレンジ,電子レンジ,n.,microwave oven,会L17
1129,てんらんかい,展覧会,n.,art exhibition,読L17-II
1225,なまえをつける,名前をつける,ru-v.,to name ,読L17-II
1230,なれる,慣れる,ru-v.,to get used to . . . ,会L17
1234,なんども,何度も,adv.,many times,"読L17-II, 会L22"
1240,～にくらべて,～に比べて,part.,compared with . . .,会L17
1261,ニュース,,n.,news,会L17
1262,～によると,,part.,according to . . .,会L17
1268,ぬぐ,脱ぐ,u-v.,to take off (clothes),会L17
1284,～のための,,suf.,for the sake of . . .,読L17-II
1300,パーマ,,n.,perm,会L17(e)
1301,パーマをかける,,ru-v.,to have one’s hair permed ,会L17(e)
1304,はいく,俳句,n.,haiku,読L17-II
1315,はしご,,n.,ladders,読L17-II
1366,パンダ,,n.,panda,会L17
1373,ヒーター,,n.,heater,会L17
1380,ひげ,,n.,beard,会L17
1381,ひげをそる,,u-v.,to shave one’s beard,会L17
1419,ブーツ,,n.,boots,会L17
1452,ブロー,,n.,blow-dry,会L17(e)
1460,ぶんや,分野,n.,field; realm,読L17-II
1523,まえ,前,suf.,before . . .,会L17
1598,むしめがね,虫めがね,n.,magnifying glass,読L17-II
1633,もじ,文字,n.,letter; character,読L17-II
1674,ゆ,湯,n.,hot water,会L17
1726,りこんする,離婚する,irr-v.,to get a divorce ,会L17
1738,りょこうがいしゃ,旅行会社,n.,travel agency,会L17
