No.,単語,漢字表記,品詞,英訳,課数
9,アウトドア,,n.,outdoor activities,読L11-II
15,あかるい,明るい,い-adj.,cheerful,読L11-II
137,いみ,意味,n.,meaning,"会L11(e), 会L12"
158,うそをつく,,u-v.,to tell a lie,会L11
163,うちゅうひこうし,宇宙飛行士,n.,astronaut,会L11
215,おかし,お菓子,n.,snack; sweets,会L11
268,おなかがすく,,u-v.,to become hungry,会L11
284,おへんじ,お返事,n.,reply,読L11-II
287,おまつり,お祭り,n.,festival,会L11
298,おもちゃ,,n.,toy,会L11
314,おんせん,温泉,n.,spa; hot spring,会L11
324,がいこく,外国,n.,foreign country,会L11
333,かう,飼う,u-v.,to own (a pet),会L11
357,かし,菓子,n.,snack; sweets,会L11
361,かしゅ,歌手,n.,singer,会L11
371,かたいいいかた,かたい言い方,n.,bookish expression,会L11(e)
377,かっこ,,n.,parenthesis,会L11(e)
420,かわ,川,n.,river,会L11
467,キャンプ,,n.,camp,会L11
478,きょうし,教師,n.,schoolteacher,会L11
482,きょうつうご,共通語,n.,common language,会L11(e)
484,～ぎょうめ,～行目,suf.,line number . . .,会L11(e)
497,きんじょ,近所,n.,neighborhood,読L11-II
507,くだけたいいかた,くだけた言い方,n.,colloquial expression,会L11(e)
536,けいさつかん,警察官,n.,police officer,会L11
558,けんかする,,irr-v.,to have a fight; to quarrel ,会L11
563,けんきゅうしゃ,研究者,n.,researcher,会L11
600,こたえ,答／答え,n.,answer,"会L11(e), 読L23-II"
605,こちら,,n.,this person (polite),会L11
608,こと,,n.,things; matters,"読L11-II, 会L21"
629,これから,,adv.,from now on,"読L11-II, 会L16"
638,こんがっき,今学期,n.,this semester,会L11
672,さっか,作家,n.,writer,会L11
677,サボる,,u-v.,to cut (classes),会L11
731,しつもん,質問,n.,question,"会L11(e), 読L19-III"
745,しめきり,締め切り,n.,deadline,"会L11(e), 会L15"
748,ジャーナリスト,,n.,journalist,会L11
753,しゃちょう,社長,n.,president of a company,会L11
787,じゅぎょう,授業,n.,class,会L11
795,しゅっしん,出身,n.,coming from,会L11
803,しょうかいする,紹介する,irr-v.,to introduce ,会L11
814,しょうぼうし,消防士,n.,firefighter,会L11
816,しょうらい,将来,n.,future,会L11
837,じんじゃ,神社,n.,shrine,会L11
874,スポーツせんしゅ,スポーツ選手,n.,athlete,会L11
956,ダイエットする,,irr-v.,to go on a diet ,会L11
968,だいとうりょう,大統領,n.,president of a country,会L11
984,～だけ,,suf.,just . . . ; only . . .,会L11
996,たとえば,例えば,adv.,for example,"会L11(e), 読L16-II, 会L17"
1035,ちこくする,遅刻する,irr-v.,to be late (for an appointment) ,会L11
1064,つかれる,疲れる,ru-v.,to get tired ,会L11
1083,つり,,n.,fishing,会L11
1091,ていねいないいかた,ていねいな言い方,n.,polite expression,会L11(e)
1118,～てん,～点,suf.,. . . points,会L11
1188,ドライブ,,n.,drive,会L11
1228,ならう,習う,u-v.,to learn,会L11
1287,のぼる,登る,u-v.,to climb,会L11
1307,はいゆう,俳優,n.,actor; actress,会L11
1322,はしる,走る,u-v.,to run,会L11
1334,ばつ,,n.,× (wrong),会L11(e)
1335,はつおん,発音,n.,pronunciation,会L11(e)
1368,バンド,,n.,band,読L11-II
1375,ビール,,n.,beer,会L11
1384,ひさしぶり,久しぶり,exp.,it has been a long time,会L11
1386,びじゅつかん,美術館,n.,art museum,会L11
1430,ふたりずつ,二人ずつ,exp.,two people each,会L11(e)
1457,ぶんか,文化,n.,culture,"読L11-II, 会L16"
1459,ぶんぽう,文法,n.,grammar,"会L11(e), 会L13"
1461,へいじつ,平日,n.,weekday,読L11-II
1476,へんじ,返事,n.,reply,"読L11-II, 会L16"
1481,ほうげん,方言,n.,dialect,会L11(e)
1489,ほかに,,adv.,anything else,会L11(e)
1498,～ぼしゅう,～募集,suf.,looking for . . .,読L11-II
1504,ホラー,,n.,horror,読L11-II
1505,ボランティア,,n.,volunteer,"読L11-II, 会L15"
1515,まあまあ,,exp.,okay; so-so,会L11
1543,まつり,祭り,n.,festival,会L11
1550,まる,,n.,○ (correct),会L11(e)
1552,まんがか,漫画家,n.,cartoonist,会L11
1564,みずうみ,湖,n.,lake,会L11
1641,もっと,,adv.,more,会L11
1671,やめる,,ru-v.,to quit ,会L11
1687,ゆめ,夢,n.,dream,会L11
1718,らいがっき,来学期,n.,next semester,会L11
1728,りゅうがくする,留学する,irr-v.,to study abroad ,会L11
1742,ルームメイト,,n.,roommate,会L11
1745,れい,例,n.,example,会L11(e)
1750,れんしゅう,練習,n.,exercise,会L11(e)
