No.,単語,漢字表記,品詞,英訳,課数
26,アジアけんきゅう,アジア研究,n.,Asian studies,会L1
49,あのう,,exp.,um . . .,会L1
60,アメリカ,,n.,U.S.A.,会L1
89,イギリス,,n.,Britain,"会L1, 会L2"
93,いしゃ,医者,n.,doctor,"会L1, 会L10"
109,いちじ,一時,n.,one o’clock,"会L1, 会L1(e)"
115,いちねんせい,一年生,n.,first-year student,会L1
129,いっぷん,一分,n.,one minute,会L1(e)
135,いま,今,adv.,now,会L1
138,いもうと,妹,n.,younger sister,"会L1, 会L7"
149,インド,,n.,India,会L1
191,エジプト,,n.,Egypt,会L1
209,オーストラリア,,n.,Australia,"会L1, 会L11"
211,おかあさん,お母さん,n.,mother,"会L1, 会L2"
258,おとうさん,お父さん,n.,father,"会L1, 会L2"
259,おとうと,弟,n.,younger brother,"会L1, 会L7"
271,おにいさん,お兄さん,n.,older brother,"会L1, 会L7"
273,おねえさん,お姉さん,n.,older sister,"会L1, 会L7"
329,かいしゃいん,会社員,n.,office worker,"会L1, 会L8"
347,がくせい,学生,n.,student,会L1
387,カナダ,,n.,Canada,会L1
428,かんこく,韓国,n.,Korea,"会L1, 会L2"
429,かんごし,看護師,n.,nurse,"会L1, 会L11"
473,きゅうふん,九分,n.,nine minutes,会L1(e)
502,くじ,九時,n.,nine o’clock,会L1(e)
534,けいざい,経済,n.,economics,"会L1, 会L2"
569,～ご,～語,suf.,. . . language,会L1
572,こうこう,高校,n.,high school,会L1
573,こうこうせい,高校生,n.,high school student,会L1
587,こくさいかんけい,国際関係,n.,international relations,会L1
590,ごご,午後,n.,p.m.,会L1
596,ごじ,五時,n.,five o’clock,会L1(e)
598,ごぜん,午前,n.,a.m.,会L1
620,ごふん,五分,n.,five minutes,会L1(e)
651,コンピューター,,n.,computer,"会L1, 会L2"
655,～さい,～歳,suf.,. . . years old,会L1
688,～さん,,suf.,Mr./Ms. . . .,会L1
692,さんじ,三時,n.,three o’clock,会L1(e)
693,さんじっぷん/さんじゅっぷん,三十分,n.,thirty minutes,会L1(e)
698,さんぷん,三分,n.,three minutes,会L1(e)
702,～じ,～時,suf.,o’clock,会L1
726,しちじ,七時,n.,seven o’clock,会L1(e)
730,じっぷん,十分,n.,ten minutes,会L1(e)
761,じゅういちじ,十一時,n.,eleven o’clock,会L1(e)
763,じゅういっぷん,十一分,n.,eleven minutes,会L1(e)
767,じゅうきゅうふん,十九分,n.,nineteen minutes,会L1(e)
768,じゅうごふん,十五分,n.,fifteen minutes,会L1(e)
769,じゅうさんぷん,十三分,n.,thirteen minutes,会L1(e)
770,じゅうじ,十時,n.,ten o’clock,会L1(e)
776,じゅうななふん,十七分,n.,seventeen minutes,会L1(e)
779,じゅうにじ,十二時,n.,twelve o’clock,会L1(e)
780,じゅうにふん,十二分,n.,twelve minutes,会L1(e)
782,じゅうはちふん/じゅうはっぷん,十八分,n.,eighteen minutes,会L1(e)
785,じゅうよんぷん,十四分,n.,fourteen minutes,会L1(e)
786,じゅうろっぷん,十六分,n.,sixteen minutes,会L1(e)
797,じゅっぷん,十分,n.,ten minutes,会L1(e)
798,しゅふ,主婦,n.,housewife,会L1
833,～じん,～人,suf.,. . . people,会L1
891,せいじ,政治,n.,politics,"会L1, 会L12"
895,せいぶつがく,生物学,n.,biology,会L1
913,せんこう,専攻,n.,major,会L1
916,せんせい,先生,n.,teacher; Professor . . .,会L1
929,そうです,,exp.,That’s right.,会L1
930,そうですか,,exp.,I see.; Is that so?,会L1
958,だいがく,大学,n.,college; university,会L1
960,だいがくいんせい,大学院生,n.,graduate student,会L1
961,だいがくせい,大学生,n.,college student,会L1
1047,ちゅうごく,中国,n.,China,"会L1, 会L2"
1130,でんわ,電話,n.,telephone,会L1
1186,ともだち,友だち,n.,friend,会L1
1217,ななふん,七分,n.,seven minutes,会L1(e)
1218,なに/なん,何,n.,what,会L1
1224,なまえ,名前,n.,name,会L1
1231,なん/なに,何,n.,what,会L1
1245,にじ,二時,n.,two o’clock,会L1(e)
1246,にじっぷん,二十分,n.,twenty minutes,会L1(e)
1247,にじはん,二時半,n.,half past two,会L1
1250,にじゅっぷん,二十分,n.,twenty minutes,会L1(e)
1254,にふん,二分,n.,two minutes,会L1(e)
1255,にほん,日本,n.,Japan,会L1
1256,にほんご,日本語,n.,Japanese language,会L1
1257,にほんじん,日本人,n.,Japanese people,会L1
1279,～ねんせい,～年生,suf.,. . . year student,会L1
1302,はい,,exp.,yes,会L1
1332,はちじ,八時,n.,eight o’clock,会L1(e)
1333,はちふん,八分,n.,eight minutes,会L1(e)
1339,はっぷん,八分,n.,eight minutes,会L1(e)
1359,はん,半,suf.,half,会L1
1361,～ばん,～番,suf.,number . . .,"会L1, 会L11(e)"
1363,ばんごう,番号,n.,number,会L1
1385,ビジネス,,n.,business,"会L1, 会L2"
1418,フィリピン,,n.,Philippines,会L1
1458,ぶんがく,文学,n.,literature,"会L1, 読L7-II"
1475,べんごし,弁護士,n.,lawyer,"会L1, 会L13"
1701,よじ,四時,n.,four o’clock,会L1(e)
1717,よんぷん,四分,n.,four minutes,会L1(e)
1729,りゅうがくせい,留学生,n.,international student,会L1
1747,れきし,歴史,n.,history,"会L1, 会L2"
1756,ろくじ,六時,n.,six o’clock,会L1(e)
1757,ろっぷん,六分,n.,six minutes,会L1(e)
1766,わたし,私,n.,I,会L1
