No.,単語,漢字表記,品詞,英訳,課数
3,あいす,愛す,u-v.,to love,読L14-II
17,あきらめる,,ru-v.,to give up ,会L14
20,あげる,,ru-v.,to give (to others) ,会L14
42,アドバイス,,n.,advice,読L14-II
199,えんぴつ,鉛筆,n.,pencil,会L14
210,おおやさん,大家さん,n.,landlord; landlady,会L14
212,おかえし,お返し,n.,return (as a token of gratitude),会L14
222,おくさん,奥さん,n.,(your/someone’s) wife,会L14
223,おくる,送る,u-v.,to send,会L14
233,おさら,お皿,n.,plate; dish,会L14
236,おじさん,,n.,uncle; middle-aged man,会L14
238,おしゃれ（な）,,な-adj.,fashionable; stylish,会L14
277,おばさん,,n.,aunt; middle-aged woman,会L14
470,きゅうに,急に,adv.,suddenly,会L14
523,クリスマス,,n.,Christmas,会L14
528,くれる,,ru-v.,to give (me) ,会L14
530,～くん,～君,suf.,Mr./Ms. . . . (casual),会L14
547,けしょうひん,化粧品,n.,cosmetics,会L14
549,けち（な）,,な-adj.,stingy; cheap,会L14
567,～こ,～個,suf.,[generic counter for smaller items],"会L14, 会L14(e)"
597,ごしゅじん,ご主人,n.,(your/someone’s) husband,会L14
645,こんな～,,pre.,. . . like this; this kind of . . .,会L14
652,さあ,,exp.,I am not sure . . .,会L14
671,～さつ,～冊,suf.,[counter for bound volumes],"会L14, 会L14(e)"
681,さら,皿,n.,plate; dish,会L14
723,じだい,時代,n.,age; era,読L14-II
754,シャツ,,n.,shirt,会L14
796,しゅっちょう,出張,n.,business trip,"読L14-II, 会L19"
919,せんぱい,先輩,n.,senior member of a group,"読L14-II, 会L22"
928,そうだんする,相談する,irr-v.,to consult ,会L14
955,～だい,～台,suf.,[counter for equipment],"会L14, 会L14(e)"
991,～たち,,suf.,[makes a noun plural],会L14
1038,ちちおや,父親,n.,father,読L14-II
1045,ちゅういする,注意する,irr-v.,to give warning; to watch out ,会L14
1052,ちょうど,,adv.,exactly,会L14
1054,チョコレート,,n.,chocolate,会L14
1067,つきあう,付き合う,u-v.,to date (someone); to keep company,"読L14-II, 会L15"
1097,できる,,ru-v.,to come into existence; to be made ,会L14
1141,どうしたらいい,,exp.,what should one do,会L14
1195,トレーナー,,n.,sweatshirt,会L14
1227,なやみ,悩み,n.,worry,"読L14-II, 会L19"
1235,にあう,似合う,u-v.,to look good (on somebody),会L14
1267,ぬいぐるみ,,n.,"stuffed animal (e.g., teddy bear)",会L14
1271,ネクタイ,,n.,necktie,会L14
1278,～ねんかん,～年間,suf.,for . . . years,読L14-II
1296,ばあい,場合,n.,case,読L14-II
1298,パートナー,,n.,partner,会L14
1358,バレンタインデー,,n.,Valentine’s Day,会L14
1377,～ひき,～匹,suf.,[counter for smaller animals],"会L14, 会L14(e)"
1455,プロポーズする,,irr-v.,to propose marriage ,会L14
1496,ほしい,欲しい,い-adj.,to want,会L14
1506,ホワイトデー,,n.,“White Day” (yet another gift-giving day),会L14
1508,～ほん,～本,suf.,[counter for long objects],"会L14, 会L14(e)"
1511,ほんとうに,本当に,adv.,really,"読L14-II, 会L18"
1548,マフラー,,n.,winter scarf,会L14
1551,まんが,漫画,n.,comic book,会L14
1686,ゆびわ,指輪,n.,ring,会L14
1697,よく,,adv.,well,会L14
1725,ラジオ,,n.,radio,会L14
1733,りょうしん,両親,n.,parents,会L14
1740,りれきしょ,履歴書,n.,résumé,会L14
