No.,単語,漢字表記,品詞,英訳,課数
1,あいかわらず,相変わらず,adv.,as usual,読L22-II
6,あいて,相手,n.,partner; the other person,会L22
154,うけつけ,受付,n.,reception desk,会L22
165,うまく,,adv.,well; successfully; skillfully,読L22-II
166,うまくいく,,u-v.,to go well,読L22-II
171,うらやましがる,,u-v.,(somebody is) envious,読L22-II
173,うるさい,,い-adj.,noisy; annoying,会L22
182,えいかいわ,英会話,n.,English conversation,会L22
240,おじょうさん,お嬢さん,n.,(someone’s) daughter (polite),会L22
275,おねがいする,お願いする,irr-v.,to request help ,会L22
359,かじ,家事,n.,housework,会L22
363,かぜ,風,n.,wind,会L22
365,かぜがふく,風が吹く,u-v.,the wind blows,会L22
374,かつ,勝つ,u-v.,to win,会L22
423,かわりに,代わりに,adv.,instead,読L22-II
438,き,木,n.,tree,会L22
531,けいかくをたてる,計画を立てる,ru-v.,to make a plan ,会L22
580,こうはい,後輩,n.,junior member of a group,会L22
619,コピーをとる,コピーを取る,u-v.,to make a photocopy,会L22
646,こんなふう,,exp.,like this,会L22
686,さる,猿,n.,monkey,会L22
694,さんせいする,賛成する,irr-v.,to agree ,会L22
710,しかたがない,,exp.,cannot be helped,読L22-II
729,しっぱいする,失敗する,irr-v.,to fail; to be unsuccessful ,会L22
759,じゆう,自由,n.,freedom,会L22
777,じゆうに,自由に,adv.,freely,会L22
823,しょるい,書類,n.,document,会L22
844,しんゆう,親友,n.,best friend,読L22-II
864,ずっと,,adv.,for a long time; all the time,会L22
934,そだてる,育てる,ru-v.,to raise; to bring up ,会L22
953,そんなこと（は）ない,,exp.,I don’t think so.,会L22
970,タイプ,,n.,type,読L22-II
998,たのしそうに,楽しそうに,adv.,joyfully,読L22-II
1043,～ちゃん,,suf.,suffix for names of children,会L22
1107,てつやする,徹夜する,irr-v.,to stay up all night ,会L22
1158,～とか,,part.,. . . for example,会L22
1232,なんだか,,adv.,somehow,読L22-II
1241,にげる,逃げる,ru-v.,to run away; to escape ,読L22-II
1313,はこぶ,運ぶ,u-v.,to carry,会L22
1367,はんたいする,反対する,irr-v.,to oppose; to object to ,会L22
1399,ひとりぐらし,一人暮らし,n.,living alone,会L22
1412,ひろう,拾う,u-v.,to pick up (something),会L22
1414,びんぼう（な）,貧乏,な-adj.,poor,会L22
1421,ぶか,部下,n.,subordinate,会L22
1423,ふくしゅう,復習,n.,review of a lesson,会L22
1436,ふつかかん,二日間,adv.,for two days,読L22-II
1453,プロジェクト,,n.,project,会L22
1471,ぺらぺら（な）,,な-adj.,fluent,会L22
1483,ほ（う）っておく,放っておく,u-v.,to leave (someone/something) alone; to neglect,会L22
1488,ボール,,n.,ball,会L22
1514,ほんやくする,翻訳する,irr-v.,to translate ,会L22
1526,まける,負ける,ru-v.,to lose (a match) ,会L22
1540,まちどおしい,待ち遠しい,い-adj.,to wait eagerly for . . .,読L22-II
1547,まにあう,間に合う,u-v.,to be in time,会L22
1601,むだづかい,無駄遣い,n.,waste (money),会L22
1617,メッセージ,,n.,message; text,"読L22-II, 会L23"
1621,めんきょ,免許,n.,license,会L22
1629,もうすこし,もう少し,adv.,a little more,会L22
1676,ゆうき,勇気,n.,courage,読L22-II
1693,ヨーロッパ,,n.,Europe,会L22
1702,よしゅう,予習,n.,preparation of a lesson,会L22
1722,らく（な）,楽,な-adj.,easy; comfortable,会L22
