No.,単語,漢字表記,品詞,英訳,課数
16,あき,秋,n.,fall,会L10
31,あたたかい,暖かい,い-adj.,warm,会L10
68,あるいて,歩いて,adv.,on foot,会L10
81,いいこと,,n.,good deed,読L10-II
88,～いき,～行き,suf.,bound for . . .,会L10(e)
108,いちごうしゃ,一号車,n.,Car No. 1,会L10(e)
117,いちばん,一番,adv.,best,会L10
141,いりぐち,入口,n.,entrance,会L10(e)
172,うる,売る,u-v.,to sell,"読L10-II, 会L15"
204,おうふく,往復,n.,round trip,会L10(e)
217,おかねもち,お金持ち,n.,rich person,会L10
237,おじぞうさん,,n.,guardian deity of children,読L10-II
239,おしょうがつ,お正月,n.,New Year’s,"読L10-II, 会L11"
245,おそい,遅い,い-adj.,slow; late,会L10
297,おもち,,n.,rice cake,読L10-II
317,～か～,,part.,or,会L10
327,かいさつ,改札,n.,gate,会L10(e)
330,かいだん,階段,n.,stairs,"会L10(e), 会L23"
341,かかる,,u-v.,to take (amount of time/money),会L10
348,がくわり,学割,n.,student discount,会L10(e)
349,～かげつ,～か月,suf.,for . . . months,会L10
355,かさ,,n.,bamboo hat,読L10-II
373,かたみち,片道,n.,one way,会L10(e)
386,かなしい,悲しい,い-adj.,sad,"読L10-II, 会L13"
389,かねもち,金持ち,n.,rich person,会L10
394,かぶせる,,n.,to put (a hat) on a person’s head ,読L10-II
433,かんたん（な）,簡単,な-adj.,easy; simple,会L10
449,きせつ,季節,n.,season,会L10
455,きっぷうりば,切符売り場,n.,ticket vending area,会L10(e)
463,きめる,決める,ru-v.,to decide ,会L10
469,きゅうこう,急行,n.,express,会L10(e)
472,ぎゅうにゅう,牛乳,n.,milk,会L10
539,ケーキ,,n.,cake,会L10
568,～ご,～後,suf.,in . . . time; after . . .,会L10
579,こうつうけいアイシーカード,交通系ICカード,n.,"rechargeable card such as Suica, Icoca, Pasmo, etc.",会L10(e)
582,こえ,声,n.,voice,読L10-II
616,このごろ,,adv.,these days,会L10
632,ごろごろする,,irr-v.,to chill out at home; to stay home do nothing ,会L10
673,サッカー,,n.,soccer,会L10
704,しあわせ（な）,幸せ,な-adj.,happy (lasting happiness),"読L10-II, 会L13"
712,じかん,時間,n.,time,会L10
721,じぞう,,n.,guardian deity of children,読L10-II
734,していせき,指定席,n.,reserved seat,会L10(e)
739,じはつ,次発,n.,departing second,会L10(e)
741,じぶん,自分,n.,oneself,"読L10-II, 会L17"
766,～しゅうかん,～週間,suf.,for . . . weeks,会L10
773,じゆうせき,自由席,n.,general admission seat,会L10(e)
775,しゅうでん,終電,n.,last train (of the day),"会L10(e), 会L21"
806,しょうがつ,正月,n.,New Year’s,"読L10-II, 会L11"
809,じょうしゃけん,乗車券,n.,(boarding) ticket,会L10(e)
834,しんかんせん,新幹線,n.,Shinkansen;  “Bullet Train”,会L10
862,すし,,n.,sushi,会L10
863,すずしい,涼しい,い-adj.,cool (weather),会L10
885,せいかつ,生活,n. ,life; living,会L10
898,せかい,世界,n. ,world,会L10
920,せんぱつ,先発,n.,departing first,会L10(e)
1031,ちかてつ,地下鉄,n. ,subway,会L10
1056,ツアー,,n.,tour,会L10
1069,つぎは～,次は～,exp.,"next (stop), . . .",会L10(e)
1081,つめたい,冷たい,い-adj.,cold (things/people),会L10
1088,～で,,part.,by (means of transportation); with (a tool),会L10
1090,ていきけん,定期券,n.,commuter’s pass,会L10(e)
1100,でぐち,出口,n.,exit,会L10(e)
1112,てぶくろ,手袋,n.,gloves,会L10
1128,てんぷら,天ぷら,n.,tempura,会L10
1132,と,戸,n.,door,読L10-II
1149,どうぶつえん,動物園,n.,zoo,会L10
1151,どうやって,,adv.,how; by what means,会L10
1168,とし,年,n.,year,読L10-II
1169,としうえ,年上,n.,someone older,会L10
1172,どちら,,n.,which,会L10
1173,とっきゅう,特急,n.,super express,会L10(e)
1175,どっち,,n.,which,会L10
1180,どのぐらい,,exp.,how much; how long,会L10
1183,とまる,泊まる,u-v.,"to stay (at a hotel, etc.)",会L10
1193,とる,,u-v.,to take off,読L10-II
1229,なる,,u-v.,to become,会L10
1275,ねむい,眠い,い-adj.,sleepy,会L10
1277,～ねん,～年,suf.,. . . years,会L10
1292,のりかえ,乗り換え,n.,transfer,会L10(e)
1306,ばいてん,売店,n.,shop; stand,会L10(e)
1351,はやく,早く/速く,adv.,(do something) early; fast,会L10
1354,はる,春,n.,spring,会L10
1365,～ばんせん,～番線,suf.,track number . . .,会L10(e)
1382,ひこうき,飛行機,n.,airplane,会L10
1390,びっくりする,,irr-v.,to be surprised ,"読L10-II, 会L21"
1404,びよういん,美容院,n.,beauty parlor,会L10
1432,ふつう,普通,n.,local (train),会L10(e)
1441,ふね,船,n.,ship; boat,会L10
1484,～ほうめん,～方面,suf.,serving . . . areas,会L10(e)
1485,ホーム,,n.,platform,"会L10(e), 読L22-II"
1594,むかしむかし,昔々,n.,once upon a time,読L10-II
1636,もち,,n.,rice cake,読L10-II
1652,やきゅう,野球,n.,baseball,会L10
1670,やまみち,山道,n.,mountain road,読L10-II
1682,ゆうめいじん,有名人,n.,celebrity,会L10
1683,ゆき,雪,n.,snow,"読L10-II, 会L8"
1709,よやく,予約,n.,reservation,会L10
1739,りょこうする,旅行する,irr-v.,to travel ,会L10
1751,れんしゅうする,練習する,irr-v.,to practice ,会L10
