No.,単語,漢字表記,品詞,英訳,課数
10,あおい,青い,い-adj.,blue,"会L9, 会L9(e)"
11,あおしんごう,青信号,n.,green light,会L9(e)
12,あかい,赤い,い-adj.,red,"会L9, 会L9(e)"
76,あんないする,案内する,irr-v.,to show (someone) around,"読L9-II, 会L16"
80,いいこ,いい子,n.,good child,会L9
95,いじわる（な）,意地悪,な-adj.,mean-spirited,会L9
125,いつつ,五つ,n.,five,会L9
146,いろ,色,n.,color,会L9
147,いろいろ（な）,,な-adj.,various; different kinds of,"読L9-II, 会L13"
178,うんどうする,運動する,irr-v.,to exercise ,会L9
266,おどる,踊る,u-v.,to dance,会L9
285,おべんとう,お弁当,n.,boxed lunch,会L9
286,おぼえる,覚える,ru-v.,to memorize ,会L9
310,オレンジ,,n.,orange,会L9(e)
312,おわる,終わる,u-v.,(something) ends,会L9
337,かおがあおい,顔が青い,い-adj.,to look pale,会L9(e)
393,かぶき,歌舞伎,n.,Kabuki; traditional Japanese theatrical art,会L9
439,きいろい,黄色い,い-adj.,yellow,会L9(e)
451,ギター,,n.,guitar,会L9
464,きもの,着物,n.,kimono; Japanese traditional dress,"読L9-II, 会L13"
492,きんいろ,金色,n.,gold,会L9(e)
493,ぎんいろ,銀色,n.,silver,会L9(e)
505,くすり,薬,n.,medicine,会L9
506,くすりをのむ,薬を飲む,u-v.,to take medicine,会L9
522,グリーン,,n.,green,会L9(e)
526,グレー,,n.,gray,会L9(e)
529,くろい,黒い,い-adj.,black,"会L9, 会L9(e)"
584,ゴールド,,n.,gold,会L9(e)
593,ここのつ,九つ,n.,nine,会L9
599,ごぜんちゅう,午前中,n.,in the morning,"読L9-II, 会L21"
602,ごちそう,,n.,excellent food,読L9-II
637,こんいろ,紺色,n.,navy,会L9(e)
640,コンサート,,n.,concert,会L9
644,こんど,今度,n.,near future,会L9
664,さくぶん,作文,n.,essay; composition,会L9
676,さびしい,寂しい,い-adj.,lonely,会L9
699,さんぽする,散歩する,irr-v.,to take a walk ,会L9
715,しけん,試験,n.,exam,会L9
829,シルバー,,n.,silver,会L9(e)
831,しろい,白い,い-adj.,white,"会L9, 会L9(e)"
832,しろくろ,白黒,n.,black and white,会L9(e)
854,スキー,,n.,ski,会L9
908,ぜひ,是非,adv.,by all means,会L9
922,そう,,adv.,(I think) so,会L9
933,そして,,adv.,and then,"読L9-II, 会L11"
1018,たんご,単語,n.,word; vocabulary,会L9
1034,チケット,,n.,ticket,会L9
1041,ちゃいろい,茶色い,い-adj.,brown,会L9(e)
1096,てがみ,手紙,n.,letter,会L9
1153,とお,十,n.,ten,会L9
1167,ところで,,adv.,by the way,会L9
1216,ななつ,七つ,n.,seven,会L9
1253,にっき,日記,n.,diary,"読L9-II, 会L18"
1265,にんきがある,人気がある,u-v.,to be popular,会L9
1303,はいいろ,灰色,n.,gray,会L9(e)
1316,はじまる,始まる,u-v.,(something) begins,会L9
1343,はなしをする,話をする,irr-v.,to have a talk ,"読L9-II, 会L19"
1372,ピアノ,,n.,piano,会L9
1379,ひく,弾く,u-v.,to play (a string instrument or piano),会L9
1395,ひとつ,一つ,n.,one,会L9
1406,びょうき,病気,n.,illness; sickness,"会L9, 会L12(e)"
1408,ひる,昼,n.,noon,読L9-II
1413,ピンク,,n.,pink,会L9(e)
1426,ふたつ,二つ,n.,two,会L9
1465,ベージュ,,n.,beige,会L9(e)
1477,べんとう,弁当,n.,boxed lunch,会L9
1500,ホストファミリー,,n.,host family,"読L9-II, 会L11"
1544,～まで,,part.,to (a place/a time),会L9
1563,みずいろ,水色,n.,light blue,会L9(e)
1575,みっつ,三つ,n.,three,会L9
1577,みどり,緑,n.,green,"会L9(e), 読L15-II"
1602,むっつ,六つ,n.,six,会L9
1604,むらさき,紫,n.,purple,会L9(e)
1611,メール,,n.,e-mail,会L9
1623,もう,,adv.,already,会L9
1648,もらう,,u-v.,to get (from somebody),会L9
1667,やっつ,八つ,n.,eight,会L9
1705,よっつ,四つ,n.,four,会L9
1731,りょう,寮,n.,dormitory,"読L9-II, 会L17"
1760,わかい,若い,い-adj.,young,会L9
