No.,単語,漢字表記,品詞,英訳,課数
7,アイロンをかける,,ru-v.,to iron (clothes) ,会L16
24,あさねぼうする,朝寝坊する,irr-v.,to oversleep ,会L16
38,あつめる,集める,ru-v.,to collect ,会L16
86,～いがい,～以外,suf.,other than . . .,会L16
145,いれる,入れる,ru-v.,to put (something) in ,会L16
164,うつす,写す,u-v.,to copy,読L16-II
187,ええと,,exp.,well . . . ; let me see . . .,会L16
189,えきいん（さん）,駅員（さん）,n.,station attendant,会L16
207,おおきさ,大きさ,n.,size,会L16
227,おこす,起こす,u-v.,to wake (someone) up,会L16
230,おごる,,u-v.,to treat (someone) to a meal,会L16
250,おちこむ,落ち込む,u-v.,to get depressed,会L16
300,おや,親,n.,parent,会L16
351,かける（アイロンを）,,ru-v.,to iron (clothes) ,会L16
362,かす,貸す,u-v.,to lend,会L16
452,きたない,汚い,い-adj.,dirty,会L16
461,きまつしけん,期末試験,n.,final examination,会L16
480,きょうじゅうに,今日中に,adv.,by the end of today,会L16
562,けんきゅう,研究,n.,research,会L16
615,このぐらい,,adv.,about this much,会L16
621,こまる,困る,u-v.,to have difficulty,会L16
622,ごみ,,n.,garbage,会L16
624,ごめん,,exp.,I’m sorry. (casual),会L16
675,さとう,砂糖,n.,sugar,会L16
728,じつは,実は,adv.,actually; in fact,会L16
733,しつれいします,失礼します,exp.,Excuse me.; Sorry to interrupt you.,会L16
742,じぶんで,自分で,adv.,(do something) by oneself,会L16
788,じゅぎょうちゅうに,授業中に,adv.,in class; during the class,会L16
804,しょうがくきん,奨学金,n.,scholarship,会L16
805,しょうがくせい,小学生,n.,elementary school students,読L16-II
839,しんせき,親せき,n.,relatives,会L16
846,すいせんじょう,推薦状,n.,letter of recommendation,会L16
882,すると,,adv.,. . . Then . . .,読L16-II
906,せつめいする,説明する,irr-v.,to explain ,会L16
943,そら,空,n.,sky,読L16-II
952,そんな～,,pre.,such . . . ; that kind of . . .,"読L16-II, 会L23"
959,だいがくいん,大学院,n.,graduate school,会L16
971,たいふう,台風,n.,typhoon,会L16
985,だす,出す,u-v.,to take (something) out; to hand in (something),会L16
987,たすける,助ける,ru-v.,to help; to rescue ,"読L16-II, 会L22"
1029,ちがう,違う,u-v.,to be different; to be wrong,"読L16-II, 会L23"
1077,つづく,続く,u-v.,to continue,読L16-II
1084,つれていく,連れていく,u-v.,to take (someone) to (a place),会L16
1140,どうぐ,道具,n.,tool,読L16-II
1164,どこでも,,adv.,anywhere,読L16-II
1181,とぶ,飛ぶ,u-v.,to fly,読L16-II
1201,なおす,直す,u-v.,to correct; to fix,会L16
1290,～のようなもの,,exp.,something like . . .,読L16-II
1291,のりおくれる,乗り遅れる,ru-v.,"to miss (a train, bus, etc.) ",会L16
1362,ばんぐみ,番組,n.,broadcast program,読L16-II
1403,ひみつ,秘密,n.,secret,"読L16-II, 会L17"
1415,ファイル,,n.,(file) folder; portfolio; file,会L16
1490,ほかの,他の,pre.,other,会L16
1492,ポケット,,n.,pocket,読L16-II
1532,また,,adv.,in addition,読L16-II
1557,みかた,味方,n.,person on one’s side,読L16-II
1567,みせる,見せる,ru-v.,to show ,会L16
1569,みち,道,n.,way; road; directions,会L16
1570,みちにまよう,道に迷う,u-v.,to become lost; to lose one’s way,会L16
1573,みつかる,見つかる,u-v.,to be found,会L16
1585,みらい,未来,n.,future,読L16-II
1591,むかえにいく,迎えに行く,u-v.,to go to pick up,会L16
1592,むかえにくる,迎えに来る,irr-v.,to come to pick up ,会L16
1644,もどる,戻る,u-v.,to return; to come/go back,"読L16-II, 会L20"
1654,やくす,訳す,u-v.,to translate,会L16
1716,よわい,弱い,い-adj.,weak,読L16-II
1758,ロボット,,n.,robot,読L16-II
1770,わらう,笑う,u-v.,to laugh,会L16
