No.,単語,漢字表記,品詞,英訳,課数
29,あそこ,,n.,over there,会L2
48,あの,,pre.,that . . . (over there),会L2
71,あれ,,n.,that one (over there),会L2
91,いくら,,n.,how much,会L2
96,いす,,n.,chair,"会L2(e), 会L4"
139,いらっしゃいませ,,exp.,Welcome (to our store).,会L2
185,えいご,英語,n.,English language,会L2
198,～えん,～円,suf.,. . . yen,会L2
202,おいしい,,い-adj.,delicious,会L2
274,おねがいします（～を）,,exp.,". . . , please.",会L2
319,カーテン,,n.,curtain,"会L2(e), 会L18"
356,かさ,傘,n.,umbrella,会L2
391,かばん,,n.,bag,会L2
496,ぎんこう,銀行,n.,bank,会L2
508,ください（～を）,,exp.,Please give me . . .,会L2
512,くつ,靴,n.,shoes,会L2
545,けしゴム,消しゴム,n.,eraser,会L2(e)
588,こくばん,黒板,n.,blackboard,会L2(e)
589,ここ,,n.,here,会L2
613,この,,pre.,this . . .,会L2
628,これ,,n.,this one,会L2
650,コンビニ,,n.,convenience store,会L2
659,さいふ,財布,n.,wallet,会L2
661,さかな,魚,n.,fish,会L2
705,ジーンズ,,n.,jeans,会L2
717,じしょ,辞書,n.,dictionary,"会L2(e), 会L15"
736,じてんしゃ,自転車,n.,bicycle,会L2
747,じゃあ,,exp.,"then . . . ; if that is the case, . . .",会L2
843,しんぶん,新聞,n.,newspaper,会L2
875,スマホ,,n.,smartphone; mobile,会L2
932,そこ,,n.,there,会L2
938,その,,pre.,that . . .,会L2
945,それ,,n.,that one,会L2
976,たかい,高い,い-adj.,expensive; high,会L2
1016,だれ,,n.,who,会L2
1072,つくえ,机,n.,desk,"会L2(e), 会L4"
1089,ティーシャツ,Ｔシャツ,n.,T-shirt,会L2
1120,でんき,電気,n.,electricity; light,"会L2(e), 会L6"
1135,ドア,,n.,door,"会L2(e), 読L13-III"
1138,トイレ,,n.,toilet; restroom,会L2
1145,どうぞ,,exp.,Please.; Here it is.,会L2
1150,どうも,,exp.,Thank you.,会L2
1162,とけい,時計,n.,watch; clock,会L2
1163,どこ,,n.,where,会L2
1170,としょかん,図書館,n.,library,会L2
1179,どの,,pre.,which . . .,会L2
1194,どれ,,n.,which one,会L2
1198,とんかつ,,n.,pork cutlet,会L2
1239,にく,肉,n.,meat,会L2
1280,ノート,,n.,notebook,会L2
1472,ペン,,n.,pen,会L2
1482,ぼうし,帽子,n.,hat; cap,会L2
1507,ほん,本,n.,book,"会L2, 会L2(e)"
1546,まど,窓,n.,window,"会L2(e), 会L6"
1619,メニュー,,n.,menu,会L2
1658,やさい,野菜,n.,vegetable,会L2
1680,ゆうびんきょく,郵便局,n.,post office,会L2
