No.,単語,漢字表記,品詞,英訳,課数
19,あける,開ける,ru-v.,to open (something) ,会L6
30,あそぶ,遊ぶ,u-v.,to play; to spend time pleasantly,会L6
41,あとで,後で,adv.,later on,会L6
98,いそぐ,急ぐ,u-v.,to hurry,会L6
105,イタリア,,n.,Italy,読L6-III
131,いつも,,adv.,always,"読L6-III, 会L8"
180,エアコン,,n.,air conditioner,会L6
188,えき,駅,n.,station,"読L6-I, 会L10"
216,おかね,お金,n.,money,会L6
235,おしえる,教える,ru-v.,to teach; to instruct ,会L6
307,おりる,降りる,ru-v.,to get off ,会L6
334,かえす,返す,u-v.,to return (a thing),会L6
383,かど,角,n.,corner,"会L6(e), 会L20"
388,かね,金,n.,money,会L6
414,かりる,借りる,ru-v.,to borrow ,会L6
430,かんじ,漢字,n.,kanji; Chinese character,会L6
450,きた,北,n.,north,会L6(e)
477,きょうかしょ,教科書,n.,textbook,会L6
514,くに,国,n.,country; place of origin,会L6
548,けす,消す,u-v.,to turn off; to erase,会L6
551,けっこうです,結構です,exp.,That would be fine.; That wouldn’t be necessary.,会L6
706,シェフ,,n.,chef,"読L6-III, 会L11"
738,しぬ,死ぬ,u-v.,to die,会L6
746,しめる,閉める,ru-v.,to close (something) ,会L6
756,シャワー,,n.,shower,会L6
757,シャワーをあびる,シャワーを浴びる,ru-v.,to take a shower ,会L6
836,しんごう,信号,n.,traffic light,"会L6(e), 会L20"
856,すぐ,,adv.,right away,会L6
883,すわる,座る,u-v.,to sit down,会L6
993,たつ,立つ,u-v.,to stand up,会L6
1004,たばこをすう,たばこを吸う,u-v.,to smoke,会L6
1061,つかう,使う,u-v.,to use,会L6
1066,つぎ,次,n.,next,会L6
1074,つける,,ru-v.,to turn on ,会L6
1086,つれてくる,連れてくる,irr-v.,to bring (a person) ,会L6
1106,てつだう,手伝う,u-v.,to help,会L6
1115,でる,出る,ru-v.,to appear; to attend; to exit ,"読L6-I, 会L9"
1123,でんしゃ,電車,n.,train,会L6
1131,でんわする,電話する,irr-v.,to call ,会L6
1244,にし,西,n.,west,会L6(e)
1258,にもつ,荷物,n.,baggage,会L6
1308,はいる,入る,u-v.,to enter,会L6
1327,パソコン,,n.,personal computer,会L6
1376,ひがし,東,n.,east,会L6(e)
1383,ピザ,,n.,pizza,"読L6-III, 会L9"
1388,ひだりがわ,左側,n.,left side,会L6(e)
1396,ひとつめ,一つ目,n.,first,会L6(e)
1427,ふたつめ,二つ目,n.,second,会L6(e)
1464,ページ,,n.,page,会L6
1510,ほんとうですか,本当ですか,exp.,Really?,会L6
1525,まがる,曲がる,u-v.,to turn (right/left),"会L6(e), 会L20"
1542,まっすぐ,,adv.,straight,"会L6(e), 読L6-I"
1560,みぎがわ,右側,n.,right side,会L6(e)
1576,みっつめ,三つ目,n.,third,会L6(e)
1579,みなさん,皆さん,n.,everyone; all of you,"読L6-III, 会L14"
1580,みなみ,南,n.,south,"会L6(e), 読L15-II"
1638,もつ,持つ,u-v.,to carry; to hold,会L6
1640,もってくる,持ってくる,irr-v.,to bring (a thing) ,会L6
1662,やすむ,休む,u-v.,to be absent (from); to rest,会L6
1684,ゆっくり,,adv.,slowly; leisurely; unhurriedly,会L6
1734,りょうり,料理,n.,cooking; dish,"読L6-III, 会L10"
1759,ワイン,,n.,wine,読L6-III
1764,わすれる,忘れる,ru-v.,to forget; to leave behind ,会L6
1769,わたる,渡る,u-v.,to cross,"会L6(e), 読L15-II"
