No.,単語,漢字表記,品詞,英訳,課数
5,あいだ,間,n.,between,会L4
8,あう,会う,u-v.,to meet; to see (a person),会L4
23,あさって,,n.,the day after tomorrow,"会L4(e), 会L8"
44,あなた,,n.,you,会L4
66,ある,,u-v.,there is . . .,会L4
70,アルバイト,,n.,part-time job,会L4
106,いちがつ,一月,n.,January,会L4(e)
110,いちじかん,一時間,n.,one hour,会L4
120,いつか,五日,n.,the fifth day of a month,会L4(e)
134,いぬ,犬,n.,dog,会L4
142,いる,,ru-v.,(a person) is in . . . ; stays at . . . ,会L4
152,うえ,上,n.,on,会L4
157,うしろ,後ろ,n.,back,会L4
246,おそく,遅く,adv.,(do something) late,"読L4-III, 会L8"
256,おてら,お寺,n.,temple,会L4
263,おととい,,n.,the day before yesterday,"会L4(e), 会L19"
264,おととし,,n.,the year before last,会L4(e)
289,おまんじゅう,,n.,sweet bun,読L4-III
331,かいもの,買い物,n.,shopping,会L4
332,かう,買う,u-v.,to buy,会L4
344,かく,書く,u-v.,to write,会L4
406,かようび,火曜日,n.,Tuesday,"会L4, 会L4(e)"
458,きのう,昨日,n.,yesterday,"会L4, 会L4(e)"
485,きょねん,去年,n.,last year,"会L4(e), 会L9"
499,きんようび,金曜日,n.,Friday,"会L4, 会L4(e)"
501,くがつ,九月,n.,September,会L4(e)
519,～ぐらい,,suf.,about (approximate measurement),会L4
520,クラス,,n.,class,会L4
540,ゲーム,,n.,game,会L4
554,げつようび,月曜日,n.,Monday,"会L4, 会L4(e)"
570,こうえん,公園,n.,park,会L4
585,ごがつ,五月,n.,May,会L4(e)
592,ここのか,九日,n.,the ninth day of a month,会L4(e)
609,ことし,今年,n.,this year,"会L4(e), 会L10"
611,こども,子供,n.,child,会L4
618,ごはん,ご飯,n.,rice; meal,会L4
625,ごめんなさい,,exp.,I’m sorry.,会L4
639,こんげつ,今月,n.,this month,"会L4(e), 会L8"
641,こんしゅう,今週,n.,this week,"会L4(e), 会L6"
682,さらいげつ,再来月,n.,the month after next,会L4(e)
683,さらいしゅう,再来週,n.,the week after next,会L4(e)
684,さらいねん,再来年,n.,the year after next,会L4(e)
690,さんがつ,三月,n.,March,会L4(e)
711,しがつ,四月,n.,April,会L4(e)
713,～じかん,～時間,suf.,. . . hours,会L4
722,した,下,n.,under,会L4
725,しちがつ,七月,n.,July,会L4(e)
752,しゃしん,写真,n.,picture; photograph,会L4
760,じゅういちがつ,十一月,n.,November,会L4(e)
762,じゅういちにち,十一日,n.,the eleventh day of a month,会L4(e)
764,じゅうがつ,十月,n.,October,会L4(e)
778,じゅうにがつ,十二月,n.,December,会L4(e)
784,じゅうよっか,十四日,n.,the fourteenth day of a month,会L4(e)
849,すいようび,水曜日,n.,Wednesday,"会L4, 会L4(e)"
850,スーパー,,n.,supermarket,会L4
912,せんげつ,先月,n.,last month,"会L4(e), 会L9"
914,せんしゅう,先週,n.,last week,"会L4, 会L4(e)"
946,それから,,adv.,and then,会L4
977,だから,,adv.,so; therefore,会L4
981,たくさん,,adv.,many; a lot,会L4
1030,ちかく,近く,n.,near; nearby,会L4
1057,ついたち,一日,n.,the first day of a month,会L4(e)
1114,てら,寺,n.,temple,会L4
1133,～と,,part.,together with (a person); and,会L4
1142,どうして,,adv.,why,会L4
1156,とおか,十日,n.,the tenth day of a month,会L4(e)
1159,とき,時,n.,when . . . ; at the time of . . .,会L4
1177,となり,隣,n.,next,会L4
1192,とる,撮る,u-v.,to take (a picture),会L4
1202,なか,中,n.,inside,会L4
1222,なのか,七日,n.,the seventh day of a month,会L4(e)
1236,にかげつまえ,二か月前,n.,two months ago,会L4(e)
1237,にがつ,二月,n.,February,会L4(e)
1248,にしゅうかんまえ,二週間前,n.,two weeks ago,会L4(e)
1249,にじゅうよっか,二十四日,n.,the twenty-fourth day of a month,会L4(e)
1272,ねこ,猫,n.,cat,会L4
1326,バスてい,バス停,n.,bus stop,会L4
1331,はちがつ,八月,n.,August,会L4(e)
1336,はつか,二十日,n.,the twentieth day of a month,会L4(e)
1340,はな,花,n.,flower,会L4
1360,パン,,n.,bread,会L4
1387,ひだり,左,n.,left,会L4
1393,ひと,人,n.,person,会L4
1400,ひとりで,一人で,adv.,alone,会L4
1405,びょういん,病院,n.,hospital,会L4
1433,ふつか,二日,n.,the second day of a month,会L4(e)
1502,ホテル,,n.,hotel,会L4
1513,ほんや,本屋,n.,bookstore,会L4
1524,まえ,前,n.,front,会L4
1536,まち,町,n.,town; city,会L4
1541,まつ,待つ,u-v.,to wait,会L4
1553,まんじゅう,,n.,sweet bun,読L4-III
1559,みぎ,右,n.,right,会L4
1566,みせ,店,n.,shop; store,"読L4-III, 会L13"
1571,みっか,三日,n.,the third day of a month,会L4(e)
1590,むいか,六日,n.,the sixth day of a month,会L4(e)
1632,もくようび,木曜日,n.,Thursday,"会L4, 会L4(e)"
1635,もしもし,,exp.,Hello? (used on the phone),会L4
1689,ようか,八日,n.,the eighth day of a month,会L4(e)
1704,よっか,四日,n.,the fourth day of a month,会L4(e)
1719,らいげつ,来月,n.,next month,"会L4(e), 会L8"
1720,らいしゅう,来週,n.,next week,"会L4(e), 会L6"
1721,らいねん,来年,n.,next year,"会L4(e), 会L6"
1748,レストラン,,n.,restaurant,会L4
1749,レポート,,n.,(term) paper,会L4
1755,ろくがつ,六月,n.,June,会L4(e)
1762,わかる,,u-v.,to understand,会L4
