No.,単語,漢字表記,品詞,英訳,課数
25,あし,足,n.,leg; foot,"会L7(e), 会L12"
32,あたま,頭,n.,head,会L7(e)
33,あたまがいい,頭がいい,い-adj.,bright; smart; clever,会L7
45,あに,兄,n.,(my) older brother,会L7
47,あね,姉,n.,(my) older sister,会L7
159,うた,歌,n.,song,会L7
160,うたう,歌う,u-v.,to sing,会L7
234,おじいさん,,n.,grandfather; old man,会L7
241,おしり,お尻,n.,buttocks,会L7(e)
267,おなか,,n.,stomach,"会L7(e), 会L12"
276,おばあさん,,n.,grandmother; old woman,会L7
328,かいしゃ,会社,n.,company,会L7
336,かお,顔,n.,face,"会L7(e), 会L10"
354,かける（めがねを）,かける（眼鏡を）,ru-v.,to put on (glasses) ,会L7
368,かぞく,家族,n.,family,会L7
370,かた,肩,n.,shoulder,会L7(e)
395,かぶる,,u-v.,to put on (a hat),会L7
398,かみ,髪,n.,hair,"会L7, 会L7(e)"
407,～から,,part.,from . . .,"読L7-II, 会L9"
412,からだにきをつける,体に気をつける,ru-v.,to take care of oneself ,読L7-II
421,かわいい,,い-adj.,cute,会L7
481,きょうだい,兄弟,n.,brothers and sisters,会L7
488,きる,着る,ru-v.,to put on (clothes above your waist) ,会L7
511,くち,口,n.,mouth,"会L7, 会L7(e)"
515,くび,首,n.,neck,会L7(e)
525,くるま,車,n.,car,会L7
553,けっこんする,結婚する,irr-v.,to get married ,会L7
653,サークル,,n.,club activity,会L7
727,しっています,知っています,exp.,I know,会L7
790,じゅく,塾,n.,cram school,"読L7-II, 会L22"
819,しょくどう,食堂,n.,cafeteria; dining commons,会L7
825,しり,尻,n.,buttocks,会L7(e)
827,しりません,知りません,exp.,I do not know,会L7
828,しる,知る,u-v.,to get to know,会L7
840,しんせつ（な）,親切,な-adj.,kind,会L7
861,すこし,少し,adv.,a little,"読L7-II, 会L21"
877,すむ,住む,u-v.,to live,会L7
900,せがたかい,背が高い,い-adj.,tall (stature),会L7
901,せがひくい,背が低い,い-adj.,short (stature),会L7
907,せなか,背中,n.,back (body),会L7(e)
1001,たのしみにする（〜を）,楽しみにする,irr-v.,to look forward (to) ,読L7-II
1037,ちち,父,n.,(my) father,会L7
1087,て,手,n.,hand; arm,会L7(e)
1111,デパート,,n.,department store,会L7
1191,とる,取る,u-v.,to take (a class); to get (a grade),"読L7-II, 会L11"
1203,ながい,長い,い-adj.,long,会L7
1220,なにも ＋ negative,何も,adv.,not . . . anything,会L7
1264,～にん,～人,suf.,[counter for people],会L7
1294,は,歯,n.,tooth,"会L7(e), 会L12"
1310,はく,,u-v.,to put on (items below your waist),会L7
1329,はたらく,働く,u-v.,to work,会L7
1341,はな,鼻,n.,nose,会L7(e)
1348,はは,母,n.,(my) mother,会L7
1350,はやい,速い,い-adj.,fast,会L7
1398,ひとり,一人,exp.,one person,会L7
1429,ふたり,二人,exp.,two people,会L7
1439,ふとっています,太っています,exp.,to be on the heavy side,会L7
1440,ふとる,太る,u-v.,to gain weight; overweight,会L7
1469,べつに ＋ negative,別に,adv.,nothing in particular,会L7
1480,べんり（な）,便利,な-adj.,convenient,会L7
1549,まゆげ,眉毛,n.,eyebrow,会L7(e)
1561,みじかい,短い,い-adj.,short (length),会L7
1583,みみ,耳,n.,ear,会L7(e)
1587,みんな,,adv.,all,"読L7-II, 会L9"
1603,むね,胸,n.,breast,会L7(e)
1606,め,目,n.,eye,"会L7, 会L7(e)"
1612,めがね,眼鏡,n.,glasses,会L7
1637,もちろん,,adv.,of course,会L7
1663,やせています,,exp.,to be thin,会L7
1664,やせる,,ru-v.,to lose weight ,会L7
1685,ゆび,指,n.,finger,会L7(e)
1694,よかったら,,adv.,if you like,会L7
