No.,単語,漢字表記,品詞,英訳,課数
28,あずけいれ,預け入れ,n.,deposit,会L13(e)
43,アナウンス,,n.,announcement,読L13-III
50,アパート,,n.,apartment; smaller apartment building,会L13
52,アプリ,,n.,application,会L13
57,あむ,編む,u-v.,to knit,会L13
74,あんしょうばんごう,暗証番号,n.,personal identification number,会L13(e)
111,いちにち,一日,n.,one day,会L13
119,いつか,五日,n.,five days,会L13
123,いっしょうにいちど,一生に一度,adv.,once in a lifetime,読L13-II
174,うれしい,,い-adj.,glad,会L13
201,おあずけいれ,お預け入れ,n.,deposit,会L13(e)
225,おくれる,遅れる,ru-v.,to become late ,"読L13-III, 会L19"
280,おひきだし,お引き出し,n.,withdrawal,会L13(e)
281,おふりこみ,お振込,n.,bank transfer,会L13(e)
320,～かい,～回,suf.,. . . times,会L13
325,がいこくご,外国語,n.,foreign language,会L13
376,がっき,楽器,n.,musical instrument,会L13
403,かめ,,n.,turtle,読L13-II
409,からい,辛い,い-adj.,hot and spicy; salty,会L13
411,からだ,体,n.,body,会L13
413,からて,空手,n.,karate,会L13
418,カレー,,n.,curry,会L13
434,かんどうする,感動する,irr-v.,to be moved/touched (by . . . ) ,会L13
437,がんばる,頑張る,u-v.,to do one’s best; to try hard,会L13
459,きびしい,厳しい,い-adj.,strict,会L13
465,キャッシュカード,,n.,bank card,会L13(e)
490,～キロ,,suf.,. . . kilometers; . . . kilograms,会L13
495,きんがく,金額,n.,amount,会L13(e)
500,くうこう,空港,n.,airport,会L13
527,クレジットカード,,n.,credit card,会L13(e)
532,けいけん,経験,n.,experience,"読L13-II, 会L15"
564,げんきん,現金,n.,cash,会L13(e)
574,こうこく,広告,n.,advertisement,会L13
575,こうざ,口座,n.,account,会L13(e)
578,こうちゃ,紅茶,n.,black tea,会L13
591,ここのか,九日,n.,nine days,会L13
610,ことば,言葉,n.,language,会L13
627,ゴルフ,,n.,golf,会L13
670,ざだんかい,座談会,n.,round-table discussion,読L13-III
695,ざんだかしょうかい,残高照会,n.,balance inquiry,会L13(e)
714,じかんどおり,時間通り,n.,on time,読L13-III
737,じどう,自動,n.,automatic,読L13-III
859,すごい,,い-adj.,incredible; awesome,会L13
865,すっぽん,,n.,snapping turtle; terrapin,読L13-II
897,セーター,,n.,sweater,会L13
921,ぜんぶ,全部,adv.,all,会L13
923,ぞう,象,n.,elephant,会L13
982,タクシー,,n.,taxi,読L13-III
1012,だめ（な）,,な-adj.,no good,会L13
1027,ちかい,近い,い-adj.,close; near,会L13
1039,チップ,,n.,tip,読L13-III
1059,つうちょう,通帳,n.,passbook,会L13(e)
1060,つうちょうきにゅう,通帳記入,n.,passbook update,会L13(e)
1070,つく,着く,u-v.,to arrive,"読L13-III, 会L15"
1102,デザート,,n.,desert,読L13-III
1104,てすうりょう,手数料,n.,commission,会L13(e)
1155,とおか,十日,n.,ten days,会L13
1161,とくに,特に,adv.,especially,会L13
1185,～ともうします,～と申します,exp.,my name is . . .,会L13
1189,とり,鳥,n.,bird; poultry,読L13-II
1221,なのか,七日,n.,seven days,会L13
1223,なべ,,n.,pot,読L13-II
1233,なんでも,,adv.,anything; everything,読L13-II
1259,ニヤニヤする,,irr-v.,to grin ,読L13-II
1305,バイク,,n.,motorcycle,会L13
1378,ひきだし,引き出し,n.,withdrawal,会L13(e)
1417,ふあん（な）,不安,な-adj.,anxious; worried,"読L13-II, 会L18"
1434,ふつか,二日,n.,two days,会L13
1435,ぶっか,物価,n.,consumer prices,会L13
1445,ふりこみ,振込,n.,bank transfer,会L13(e)
1446,プリン,,n.,pudding,読L13-III
1497,ぼしゅう,募集,n.,recruitment,会L13
1554,マンション,,n.,larger apartment building; condominium,会L13
1556,みがく,磨く,u-v.,to brush (teeth); to polish,会L13
1565,みずぎ,水着,n.,swimwear,読L13-III
1572,みっか,三日,n.,three days,会L13
1589,むいか,六日,n.,six days,会L13
1615,めずらしい,,い-adj.,rare,読L13-II
1630,もう～ない,,adv.,not any longer,読L13-II
1655,やくそく,約束,n.,promise; appointment,会L13
1656,やくそくをまもる,約束を守る,u-v.,to keep a promise,会L13
1668,やっぱり,,adv.,after all,"読L13-II, 会L17"
1688,ようか,八日,n.,eight days,会L13
1695,よきん,預金,n.,savings,会L13(e)
1703,よっか,四日,n.,four days,会L13
1732,りょうがえ,両替,n.,money exchange,会L13(e)
1765,わたくし,私,n.,I (formal),会L13
