No.,単語,漢字表記,品詞,英訳,課数
40,（〜の）あと,後,exp.,after (an event),"読L8-II, 会L11"
53,アボカド,,n.,avocado,会L8(e)
58,あめ,雨,n.,rain,会L8
62,あらう,洗う,u-v.,to wash,会L8
72,アレルギー,,n.,allergy,"会L8(e), 会L12"
73,アンケート,,n.,questionnaire,読L8-II
82,いう,言う,u-v.,to say,会L8
107,いちご,,n.,strawberry,会L8(e)
143,いる,,u-v.,to need,会L8
151,ううん,,exp.,uh-uh; no,会L8
176,うん,,exp.,uh-huh; yes,会L8
177,うんてんする,運転する,irr-v.,to drive ,会L8
247,おそくなる,遅くなる,u-v.,to be late,会L8
282,おふろ,お風呂,n.,bath,会L8
283,おふろにはいる,お風呂に入る,u-v.,to take a bath,会L8
295,おもう,思う,u-v.,to think,会L8
404,カメラ,,n.,camera,会L8
410,カラオケ,,n.,karaoke,会L8
436,かんぱい,乾杯,exp.,Cheers! (a toast),会L8
441,きおん,気温,n.,temperature (weather),会L8
466,キャベツ,,n.,cabbage,会L8(e)
471,ぎゅうにく,牛肉,n.,beef,会L8(e)
474,きゅうり,,n.,cucumber,会L8(e)
487,きる,切る,u-v.,to cut,"会L8, 会L17(e)"
517,くもり,曇り,n.,cloudy weather,会L8
543,けさ,今朝,n.,this morning,会L8
601,こたえる,答える,ru-v.,to answer ,"読L8-II, 会L23"
614,このあいだ,この間,adv.,the other day,"読L8-II, 会L16"
658,さいごに,最後に,adv.,finally; lastly,"読L8-II, 会L23"
691,ざんぎょう,残業,n.,overtime work,"読L8-II, 会L17"
696,ざんねん（ですね）,残念（ですね）,exp.,That’s too bad.,会L8
716,しごと,仕事,n.,job; work; occupation,会L8
750,じゃがいも,,n.,potato,会L8(e)
811,じょうず（な）,上手,な-adj.,skillful; good at . . .,会L8
845,すいか,,n.,watermelon,会L8(e)
867,すてる,捨てる,ru-v.,to throw away ,会L8
868,ストレス,,n.,stress,読L8-II
872,スペイン,,n.,Spain,会L8
918,せんたくする,洗濯する,irr-v.,to do laundry ,会L8
925,そうじする,掃除する,irr-v.,to clean ,会L8
1011,たまねぎ,,n.,onion,会L8(e)
1063,つかれている,疲れている,exp.,to be tired,読L8-II
1068,つぎに,次に,adv.,secondly,読L8-II
1073,つくる,作る,u-v.,to make,会L8
1122,てんきよほう,天気予報,n.,weather forecast,会L8
1134,～ど,～度,suf.,. . . degrees (temperature),会L8
1139,どう,,adv.,how,会L8
1165,ところ,所,n.,place,会L8
1182,トマト,,n.,tomato,会L8
1190,とりにく,鶏肉,n.,chicken,会L8(e)
1211,なす,,n.,eggplant,会L8(e)
1213,なつ,夏,n.,summer,会L8
1219,なにか,何か,n.,something,会L8
1252,～について,,part.,about . . . ; concerning . . .,会L8
1266,にんじん,,n.,carrot,会L8(e)
1297,パーティー,,n.,party,会L8
1299,バーベキュー,,n.,barbecue,会L8
1314,はし,,n.,chopsticks,会L8
1320,はじめる,始める,ru-v.,to begin ,会L8
1342,はなし,話,n.,story; talk,"読L8-II, 会L19"
1353,ハラルフード,,n.,halal,会L8(e)
1356,はれ,晴れ,n.,sunny weather,会L8
1374,ピーナッツ,,n.,peanut,会L8(e)
1424,ふくろ,袋,n.,bag; sack; plastic/paper bag,"会L8(e), 会L23"
1428,ぶたにく,豚肉,n.,pork,会L8(e)
1438,ぶどう,,n.,grape,会L8(e)
1444,ふゆ,冬,n.,winter,会L8
1448,ふる（あめ/ゆきが）,降る（雨/雪が）,u-v.,(rain/snow) falls,会L8
1451,ふろ,風呂,n.,bath,会L8
1454,ふろにはいる,風呂に入る,u-v.,to take a bath,会L8
1466,へた（な）,下手,な-adj.,clumsy; poor at . . .,会L8
1487,ホームステイ,,n.,homestay; living with a local family,会L8
1518,まいしゅう,毎週,n.,every week,会L8
1529,まず,,adv.,first of all,"読L8-II, 会L18"
1534,まだ ＋ negative,,adv.,not . . . yet,会L8
1558,みかん,,n.,mandarin orange,"会L8(e), 会L14"
1588,みんなで,,n.,all (of the people) together,会L8
1639,もっていく,持っていく,u-v.,to take (a thing),会L8
1647,もも,,n.,peach,会L8(e)
1681,ゆうめい（な）,有名,な-adj.,famous,会L8
1735,りょうりする,料理する,irr-v.,to cook ,会L8
1741,りんご,,n.,apple,"会L8(e), 会L10"
