No.,単語,漢字表記,品詞,英訳,課数
14,あかるい,明るい,い-adj.,bright,会L18
18,あく,開く,u-v.,(something) opens,会L18
39,あと,後,n.,the rest,会L18
61,あやまる,謝る,u-v.,to apologize,会L18
94,～いじょう,～以上,suf.,. . . or more,読L18-II
136,いますぐ,今すぐ,adv.,right away,会L18
214,おかげで,,part.,thanks to . . .,会L18
231,おさきにしつれいします,お先に失礼します,exp.,"See you. (lit., I’m leaving ahead of you.)",会L18
243,おす,押す,u-v.,to press; to push,会L18
252,おちる,落ちる,ru-v.,(something) drops ,会L18
253,おつかれさま（でした）,お疲れ様（でした）,exp.,You must be tired after working so hard. (greeting between friends and coworkers),会L18
262,おとす,落とす,u-v.,to drop (something),会L18
304,おゆがわく,お湯が沸く,u-v.,water boils,会L18
372,かたづける,片付ける,ru-v.,to tidy up ,会L18
382,かていきょうし,家庭教師,n.,tutor,読L18-III
425,かんがえる,考える,ru-v.,to think (about); to consider ,会L18
440,きえる,消える,ru-v.,(something) goes off ,会L18
518,くらい,暗い,い-adj.,dark,会L18
538,けいたい（でんわ）,携帯（電話）,n.,cell phone,会L18
633,ころぶ,転ぶ,u-v.,to fall down,会L18
635,こわす,壊す,u-v.,to break (something),会L18
636,こわれる,壊れる,ru-v.,(something) breaks ,会L18
662,さく,咲く,u-v.,to bloom,会L18
665,さくら,桜,n.,cherry blossom,会L18
724,したしい,親しい,い-adj.,close; intimate,読L18-III
744,しまる,閉まる,u-v.,(something) closes,会L18
781,しゅうにゅう,収入,n.,income,読L18-II
815,しょうゆ,しょう油,n.,soy sauce,会L18
820,しょくひ,食費,n.,cost of food,読L18-III
821,じょしがくせい,女子学生,n.,female student,読L18-II
847,スイッチ,,n.,switch,会L18
851,スープ,,n.,soup,会L18
852,スカート,,n.,skirt,会L18
887,せいかつのゆとり,生活のゆとり,n.,extra money to spare for the cost of living,読L18-II
888,せいかつひ,生活費,n.,the cost of living,読L18-II
937,そと,外,n.,outside,会L18
941,ソファ,,n.,sofa,会L18
965,たいせつ（な）,大切,な-adj.,precious; important,会L18
975,タオル,,n.,towel,会L18
986,たすかる,助かる,u-v.,to be saved; to be helped,会L18
1003,たのむ,頼む,u-v.,to ask (a favor),会L18
1017,～（ん）だろう,,exp.,short form of ～（ん）でしょう,会L18
1020,だんしがくせい,男子学生,n.,male student,読L18-II
1032,ちからしごと,力仕事,n.,physical labor (such as construction),読L18-III
1049,ちゅうもんする,注文する,irr-v.,to place an order ,会L18
1053,ちょきんする,貯金する,irr-v.,to deposit money (in a bank) ,読L18-II
1071,つく,,u-v.,(something) turns on,会L18
1143,どうしよう,,exp.,What should I/we do?,会L18
1318,はじめは,初めは,adv.,at first,読L18-III
1324,はずかしい,恥ずかしい,い-adj.,embarrassing; to feel embarrassed,会L18
1345,バナナ,,n.,banana,会L18
1391,ひっこし,引っ越し,n.,moving,読L18-III
1501,ポップコーン,,n.,popcorn,会L18
1519,まいつき,毎月,n.,every month,読L18-III
1582,～みまん,～未満,suf.,less than . . .,読L18-II
1596,むし,虫,n.,insect,会L18
1605,むり（な）,無理,な-adj.,impossible,会L18
1631,もくてき,目的,n.,object; purpose,読L18-II
1665,やちん,家賃,n.,rent,会L18
1675,ゆうがた,夕方,n.,evening,会L18
1692,ようふく,洋服,n.,clothes,読L18-II
1699,よごす,汚す,u-v.,to make dirty,会L18
1700,よごれる,汚れる,ru-v.,to become dirty ,会L18
1746,れいぞうこ,冷蔵庫,n.,refrigerator,会L18
1754,ろうそく,,n.,candle,会L18
1774,ワンルームマンション,,n.,studio apartment,読L18-III
